merge 302874196 20000
selection 65782960 20000
insertion 685526 20000
merge 299934375 21000
selection 66455808 21000
insertion 671036 21000
merge 215928698 22000
selection 72582369 22000
insertion 742275 22000
merge 273941767 23000
selection 79105273 23000
insertion 211906 23000
merge 240068788 24000
selection 86018181 24000
insertion 172966 24000
merge 253631684 25000
selection 93859010 25000
insertion 177796 25000
merge 272677877 26000
selection 101198144 26000
insertion 121046 26000
merge 296175306 27000
selection 107414359 27000
insertion 17206 27000
merge 321742291 28000
selection 116207859 28000
insertion 13886 28000
merge 344013260 29000
selection 124713383 29000
insertion 24149 29000
merge 372135193 30000
selection 133522882 30000
insertion 15697 30000
merge 403216263 31000
selection 143277204 31000
insertion 16300 31000
merge 423500990 32000
selection 151165423 32000
insertion 26262 32000
merge 469835679 33000
selection 161925846 33000
insertion 16602 33000
merge 505657773 34000
selection 172264268 34000
insertion 18111 34000
merge 585735338 35000
selection 181872489 35000
insertion 17508 35000
merge 590180537 36000
selection 193036500 36000
insertion 26564 36000
merge 653243431 37000
selection 203266855 37000
insertion 19017 37000
merge 647829562 38000
selection 215676343 38000
insertion 19319 38000
merge 718014856 39000
selection 227131649 39000
insertion 39544 39000
merge 719392548 40000
selection 237757140 40000
insertion 28676 40000
